,Household_ID,Daily_Water_Usage_Liters,Number_of_Family_Members,Type_of_Residence,Water_Source,Monthly_Water_Bill,Smart_Meter_Reading,Leakage_Detection,Region,Income_Bracket,Number_of_Bathrooms,Average_Shower_Time_Minutes,Rainwater_Harvesting
10479,HH010480,219.66,6.0,apartment,well,31.0,229.94,No,Urban,Medium,2.0,9.64,No
10482,HH010483,133.12,2.0,house,municipal,20.7,133.52,No,Rural,Medium,1.0,7.55,No
10483,HH010484,230.61,3.0,apartment,municipal,31.87,225.24,No,Urban,Medium,3.0,8.22,No
10494,HH010495,164.71,5.0,apartment,borewell,23.05,165.62,No,Urban,Medium,1.0,5.48,No
10497,HH010498,204.36,3,house,municipal,32.49,207.1,No,Urban,Low,2.0,7.8,No
10505,HH010506,238.19,3,apartment,municipal,36.99,233.75,No,Urban,Medium,1.0,12.6,No
10506,HH010507,180.42,3.0,apartment,well,25.47,177.37,No,Urban,Medium,2.0,9.63,No
10510,HH010511,151.89,4.0,apartment,municipal,24.79,152.48,No,Rural,Medium,1.0,5.66,No
10513,HH010514,129.4,4.0,apartment,municipal,19.18,127.06,No,Suburban,Medium,1,15.78,No
10517,HH010518,263.62,2.0,apartment,municipal,42.43,252.66,No,Suburban,Medium,2.0,7.24,No
10522,HH010523,105.4,2.0,house,municipal,15.82,109.47,No,Urban,High,1.0,10.25,No
10531,HH010532,173.68,3,apartment,borewell,24.39,161.29,Yes,Urban,Medium,1.0,4.22,No
10542,HH010543,203.45,4.0,apartment,municipal,33.56,203.08,No,Urban,Medium,1.0,9.73,No
10546,HH010547,217.72,3.0,house,municipal,33.39,217.12,No,Urban,Medium,1.0,6.56,No
10548,HH010549,180.63,4.0,apartment,municipal,25.37,178.73,No,Rural,Medium,3.0,9.7,No
10564,HH010565,315.0,2.0,apartment,municipal,46.74,312.98,No,Rural,Medium,2.0,6.82,No
10566,HH010567,264.46,3,apartment,municipal,43.53,266.01,No,Rural,Low,4.0,7.6,No
10576,HH010577,190.68,3,house,municipal,29.77,195.39,No,Urban,Medium,3.0,4.64,No
10582,HH010583,175.64,6.0,apartment,municipal,27.32,179.8,No,Urban,Medium,1.0,10.45,No
10591,HH010592,181.45,3,house,municipal,26.0,173.9,No,Urban,High,1.0,6.37,Yes
10595,HH010596,225.01,4.0,apartment,municipal,33.9,222.47,No,Suburban,Medium,2.0,3.0,No
10601,HH010602,166.75,3,house,borewell,24.55,175.95,No,Suburban,Medium,2.0,6.08,No
10608,HH010609,256.73,4.0,apartment,municipal,37.66,262.37,No,Urban,High,2.0,8.87,No
10612,HH010613,269.16,6.0,apartment,municipal,44.27,274.25,No,Urban,Low,1,4.53,No
10624,HH010625,259.91,3.0,apartment,municipal,35.62,260.28,No,Suburban,Medium,2.0,11.93,No
10639,HH010640,198.6,3.0,house,borewell,32.7,200.16,No,Suburban,Medium,1,10.14,No
10649,HH010650,123.63,6.0,apartment,municipal,18.18,121.05,No,Rural,Medium,1,8.07,No
10670,HH010671,238.98,7.0,apartment,municipal,37.01,238.52,No,Rural,Medium,1.0,7.36,No
10677,HH010678,208.89,3.0,apartment,municipal,28.46,205.59,No,Urban,Medium,1,10.68,No
10680,HH010681,158.38,3,house,municipal,25.56,166.49,No,Urban,High,2.0,9.64,No
10698,HH010699,226.06,3.0,house,municipal,33.23,224.32,No,Urban,High,1.0,8.96,No
10705,HH010706,164.68,5.0,apartment,municipal,24.39,163.12,No,Urban,Medium,3.0,12.19,No
10710,HH010711,258.74,4.0,apartment,municipal,35.98,255.67,No,Suburban,Low,3.0,14.48,No
10714,HH010715,187.74,3,apartment,municipal,25.46,197.82,No,Urban,Low,1,7.66,No
10726,HH010727,178.25,2.0,house,municipal,25.29,171.53,No,Suburban,Low,1.0,5.94,No
10737,HH010738,149.99,5.0,house,municipal,22.41,144.88,No,Rural,Medium,1.0,8.21,No
10739,HH010740,127.26,3,apartment,municipal,18.09,128.08,No,Suburban,Medium,1,7.95,No
10742,HH010743,158.68,5.0,apartment,municipal,23.04,164.54,No,Urban,Medium,1,9.02,No
10753,HH010754,143.75,3,house,municipal,22.31,143.6,No,Urban,Medium,1,11.31,No
10762,HH010763,184.01,2.0,apartment,municipal,27.45,181.6,No,Urban,Low,1,7.35,No
10778,HH010779,219.5,4.0,apartment,municipal,35.47,223.02,No,Suburban,Medium,4.0,11.67,No
10787,HH010788,195.96,6.0,house,municipal,30.25,195.67,No,Suburban,Medium,1.0,10.04,No
10792,HH010793,202.73,5.0,house,municipal,28.81,199.18,No,Suburban,Medium,1,9.37,Yes
10793,HH010794,222.07,8.0,house,municipal,31.26,219.0,No,Urban,Medium,1,8.45,No
10810,HH010811,164.34,3.0,house,municipal,24.06,159.4,No,Suburban,Low,1.0,6.98,No
10820,HH010821,150.46,4.0,house,borewell,23.97,138.5,Yes,Suburban,Medium,1.0,3.0,No
10825,HH010826,186.08,3.0,apartment,municipal,25.17,189.64,No,Rural,Medium,1,6.94,No
10829,HH010830,170.23,2.0,apartment,municipal,26.61,175.3,No,Suburban,Medium,1,9.07,No
10834,HH010835,282.27,3,apartment,municipal,39.64,291.73,No,Urban,Medium,3.0,10.73,No
10841,HH010842,143.79,4.0,apartment,municipal,21.0,136.57,No,Urban,Low,1,7.23,No
10850,HH010851,156.78,7.0,house,municipal,23.38,163.52,No,Urban,Medium,1.0,6.08,No
10856,HH010857,216.0,3,apartment,municipal,31.83,221.56,No,Rural,High,1.0,8.3,No
10858,HH010859,249.74,3,apartment,municipal,35.99,247.09,No,Rural,Medium,1,6.5,No
10860,HH010861,192.52,6.0,apartment,municipal,26.81,190.34,No,Urban,High,4.0,9.41,No
10861,HH010862,133.15,7.0,apartment,municipal,21.12,140.32,No,Rural,Medium,2.0,10.65,No
10870,HH010871,264.93,3,apartment,municipal,37.66,272.28,No,Urban,Medium,2.0,5.37,No
10872,HH010873,234.44,4.0,apartment,municipal,36.8,226.53,No,Suburban,Medium,2.0,10.17,No
10883,HH010884,212.13,3,apartment,municipal,32.23,214.33,No,Urban,Medium,2.0,11.11,Yes
10892,HH010893,198.51,3.0,apartment,municipal,27.42,198.01,No,Suburban,Medium,1,6.52,No
10897,HH010898,165.61,3,apartment,municipal,24.13,163.26,No,Urban,High,2.0,6.31,Yes
10898,HH010899,166.15,4.0,house,municipal,25.3,165.99,No,Rural,Low,1,9.64,No
10899,HH010900,181.28,3,apartment,municipal,27.89,178.39,No,Suburban,Medium,2.0,12.58,No
10903,HH010904,227.44,5.0,apartment,municipal,36.43,225.55,No,Rural,Medium,2.0,8.36,No
10909,HH010910,165.15,3,house,municipal,22.42,174.54,No,Rural,Medium,1,7.13,No
10920,HH010921,281.27,4.0,house,municipal,43.01,278.2,No,Rural,High,1,7.95,No
10921,HH010922,131.92,2.0,house,municipal,18.66,133.95,No,Suburban,Medium,2.0,12.46,No
10924,HH010925,201.77,3,house,municipal,28.4,200.54,No,Rural,High,1,11.61,No
10939,HH010940,232.99,3,house,municipal,38.07,231.42,No,Urban,Medium,1.0,9.04,No
10940,HH010941,144.15,3,apartment,municipal,21.12,141.03,No,Urban,Medium,1.0,9.52,No
10941,HH010942,147.61,3,apartment,municipal,22.26,146.64,No,Urban,Medium,1,7.27,No
10942,HH010943,234.4,3.0,house,municipal,32.26,238.68,No,Urban,Medium,1,3.0,Yes
10945,HH010946,260.51,3,apartment,borewell,38.4,264.67,No,Urban,Low,1.0,5.83,No
10953,HH010954,215.8,5.0,house,municipal,31.71,213.18,No,Suburban,Low,1,8.78,No
10979,HH010980,219.1,4.0,house,municipal,31.61,225.72,No,Urban,Low,2.0,3.4,No
10981,HH010982,214.98,3.0,apartment,municipal,31.46,214.81,No,Urban,Medium,1.0,11.11,No
10991,HH010992,238.94,3.0,house,municipal,34.65,237.29,No,Suburban,High,2.0,11.07,No
10996,HH010997,216.26,3,house,rainwater harvesting,29.67,221.72,No,Rural,Medium,1,10.3,No
11032,HH011033,116.62,3,house,municipal,17.46,119.93,No,Urban,Low,2.0,9.45,No
11036,HH011037,194.31,4.0,apartment,municipal,32.03,191.62,No,Rural,Low,2.0,6.53,No
11058,HH011059,171.4,3,apartment,municipal,26.05,170.35,No,Urban,Medium,2.0,13.03,No
11081,HH011082,286.53,3,apartment,municipal,42.39,289.32,No,Urban,Medium,1,10.76,No
11084,HH011085,266.17,4.0,house,municipal,38.89,264.26,No,Suburban,Medium,1,11.77,Yes
11086,HH011087,211.04,3,house,municipal,29.4,210.87,No,Urban,Medium,1,10.99,No
11109,HH011110,133.02,3.0,apartment,municipal,19.29,132.97,No,Urban,Medium,1,9.33,No
11124,HH011125,253.04,3,apartment,municipal,41.6,261.93,No,Rural,Medium,3.0,4.9,No
11126,HH011127,149.09,5.0,house,municipal,22.23,150.44,No,Urban,Medium,1.0,12.65,No
11139,HH011140,190.85,3,apartment,municipal,29.52,187.51,No,Urban,Low,3.0,3.0,No
11141,HH011142,273.53,2.0,apartment,well,39.71,267.96,No,Suburban,High,2.0,7.94,No
11142,HH011143,133.74,4.0,apartment,municipal,18.29,127.78,No,Urban,Medium,2.0,9.83,No
11168,HH011169,194.6,4.0,house,municipal,31.19,192.41,No,Urban,Medium,1.0,10.28,Yes
11174,HH011175,233.06,3,apartment,municipal,37.75,216.4,No,Urban,High,1.0,8.2,No
11191,HH011192,185.99,3.0,house,municipal,29.37,185.03,No,Urban,Low,1,11.15,No
11195,HH011196,242.48,6.0,apartment,borewell,33.62,244.29,No,Suburban,High,2.0,7.27,No
11196,HH011197,104.36,3,house,municipal,15.77,110.1,No,Suburban,Low,4.0,9.68,No
11219,HH011220,180.85,9.0,apartment,municipal,29.23,180.17,No,Urban,Low,1,9.67,No
11221,HH011222,186.53,2.0,apartment,municipal,27.04,179.44,No,Suburban,High,1.0,6.3,No
11238,HH011239,208.17,3.0,house,rainwater harvesting,33.45,194.11,No,Urban,Medium,4.0,14.81,No
11249,HH011250,187.11,2.0,apartment,municipal,30.31,195.81,No,Urban,Medium,1.0,12.06,No
11257,HH011258,200.26,2.0,house,municipal,31.65,199.72,No,Urban,Medium,3.0,8.9,No
11260,HH011261,172.34,2.0,house,municipal,24.88,155.66,No,Urban,Medium,1.0,9.51,No
11278,HH011279,221.31,2.0,apartment,borewell,30.0,225.06,No,Urban,Low,1.0,11.86,No
11282,HH011283,184.59,4.0,house,municipal,29.79,175.86,No,Urban,Medium,1,4.89,No
11283,HH011284,182.66,3,apartment,rainwater harvesting,30.13,185.77,No,Urban,Medium,2.0,5.8,Yes
11284,HH011285,167.76,3,apartment,municipal,25.2,162.53,No,Urban,Low,1,10.23,No
11285,HH011286,163.53,3,apartment,borewell,25.64,168.68,No,Suburban,Low,1,7.38,No
11294,HH011295,111.43,5.0,apartment,municipal,17.57,112.97,No,Urban,Medium,2.0,5.6,Yes
11300,HH011301,210.97,4.0,apartment,municipal,29.94,203.37,No,Urban,Medium,3.0,5.08,No
11311,HH011312,146.35,3.0,apartment,municipal,23.91,152.6,No,Urban,Medium,1,9.92,No
11323,HH011324,280.19,6.0,apartment,municipal,40.54,282.62,No,Suburban,High,1.0,11.48,No
11326,HH011327,206.68,5.0,apartment,municipal,30.09,213.22,No,Urban,Medium,2.0,4.6,No
11328,HH011329,160.16,2.0,apartment,municipal,23.92,159.39,No,Urban,Low,1.0,8.66,No
11335,HH011336,151.28,5.0,apartment,rainwater harvesting,22.84,152.27,No,Urban,Medium,2.0,9.09,No
11337,HH011338,163.78,7.0,apartment,municipal,26.08,161.88,No,Urban,Medium,1.0,10.17,No
11341,HH011342,174.23,6.0,house,municipal,26.8,180.83,No,Urban,Low,1,13.63,Yes
11352,HH011353,277.71,3.0,house,municipal,43.97,277.47,No,Urban,Medium,1,11.01,No
11354,HH011355,236.72,3,apartment,borewell,35.55,240.62,No,Urban,Medium,1.0,11.57,No
11356,HH011357,202.67,1.0,apartment,borewell,31.73,199.14,No,Suburban,Medium,1,5.74,No
11358,HH011359,165.96,2.0,house,municipal,25.76,168.49,No,Suburban,Medium,2.0,7.02,No
11371,HH011372,110.2,4.0,apartment,municipal,16.08,120.53,No,Urban,Medium,1,4.29,No
11377,HH011378,248.79,3,apartment,municipal,34.04,240.07,No,Rural,Low,2.0,6.48,No
11383,HH011384,128.96,2.0,apartment,municipal,20.67,128.28,No,Urban,Medium,1.0,8.95,No
11387,HH011388,237.87,4.0,apartment,municipal,36.36,233.54,No,Rural,Medium,2.0,13.47,No
11388,HH011389,230.26,3.0,house,municipal,37.84,230.04,No,Urban,Low,1,5.27,No
11408,HH011409,184.27,1.0,house,well,25.6,177.29,No,Rural,High,1,10.98,No
11410,HH011411,167.89,5.0,apartment,municipal,26.26,163.37,No,Urban,Medium,2.0,6.71,No
11419,HH011420,242.08,3,house,municipal,35.52,245.66,No,Urban,Medium,1.0,5.05,No
11420,HH011421,209.21,2.0,apartment,municipal,33.61,205.94,No,Urban,Medium,1.0,7.94,No
11425,HH011426,181.5,3,apartment,municipal,29.56,192.83,No,Urban,Medium,1,5.31,No
11431,HH011432,217.38,6.0,apartment,municipal,32.32,219.99,No,Urban,Medium,3.0,7.09,No
11446,HH011447,180.57,2.0,apartment,municipal,25.77,185.03,No,Urban,Medium,1,5.34,No
11453,HH011454,148.37,2.0,house,borewell,23.82,146.82,No,Rural,High,2.0,7.83,No
11457,HH011458,241.45,8.0,house,municipal,33.7,247.16,No,Urban,Medium,2.0,5.17,No
11462,HH011463,171.13,5.0,house,municipal,23.67,184.2,No,Rural,Medium,1.0,8.47,Yes
11468,HH011469,187.86,6.0,apartment,municipal,27.69,189.77,No,Urban,Medium,2.0,8.31,No
11480,HH011481,200.76,3.0,apartment,municipal,28.48,202.45,No,Suburban,Low,1,3.56,No
11483,HH011484,175.99,3,house,municipal,24.97,169.91,No,Urban,High,1.0,7.52,No
11491,HH011492,209.02,3.0,apartment,municipal,31.56,206.53,No,Urban,Medium,4.0,5.16,No
11492,HH011493,211.33,4.0,apartment,municipal,34.4,223.36,No,Rural,Medium,2.0,4.22,No
11495,HH011496,197.12,3,apartment,rainwater harvesting,27.78,196.81,No,Urban,Medium,1.0,9.54,No
11515,HH011516,276.65,4.0,house,municipal,44.89,273.76,No,Urban,Medium,1.0,3.0,Yes
11530,HH011531,139.09,3,house,rainwater harvesting,19.05,136.0,No,Urban,Medium,2.0,8.91,No
11551,HH011552,195.49,3,apartment,borewell,29.99,187.2,No,Urban,Low,1,10.95,Yes
11552,HH011553,258.8,5.0,apartment,municipal,42.39,266.97,No,Urban,Low,1.0,3.29,No
11569,HH011570,166.2,4.0,house,municipal,24.27,165.04,No,Urban,Low,2.0,6.85,No
11570,HH011571,249.69,3,apartment,borewell,38.96,257.95,No,Suburban,Medium,1.0,5.1,No
11574,HH011575,170.44,3,apartment,municipal,26.99,183.03,No,Urban,Medium,2.0,12.38,No
11575,HH011576,216.43,3.0,apartment,municipal,31.27,219.75,No,Urban,Medium,1,8.24,No
11578,HH011579,260.8,4.0,house,municipal,38.45,263.52,No,Urban,Low,1.0,8.9,No
11590,HH011591,228.22,3,apartment,municipal,31.68,223.5,No,Suburban,Medium,1.0,9.31,No
11592,HH011593,316.65,3,apartment,municipal,47.23,320.89,Yes,Rural,Medium,1.0,8.3,No
11609,HH011610,162.56,3,house,borewell,23.47,156.76,No,Urban,Low,1,6.39,No
11610,HH011611,233.16,3,apartment,municipal,37.92,227.2,No,Urban,Medium,1.0,8.78,No
11623,HH011624,151.44,5.0,apartment,municipal,24.67,159.86,No,Rural,Medium,1.0,8.81,Yes
11628,HH011629,325.42,3.0,apartment,rainwater harvesting,49.12,319.28,No,Urban,Low,1.0,9.94,No
11634,HH011635,248.86,3,apartment,municipal,34.71,249.42,No,Suburban,Medium,4.0,13.19,Yes
11638,HH011639,189.52,3,apartment,borewell,29.84,190.17,No,Suburban,Medium,2.0,9.52,No
11655,HH011656,165.5,5.0,house,municipal,24.27,162.92,No,Urban,High,2.0,7.47,No
11656,HH011657,273.29,5.0,apartment,municipal,39.04,268.72,No,Suburban,Medium,1,12.41,No
11676,HH011677,200.84,4.0,house,borewell,32.65,203.06,No,Urban,Low,1.0,3.0,No
11683,HH011684,203.9,3.0,apartment,municipal,28.84,204.4,No,Urban,Medium,2.0,10.12,No
11685,HH011686,225.35,5.0,apartment,well,32.74,229.71,No,Suburban,Medium,1.0,8.54,No
11698,HH011699,221.44,7.0,house,rainwater harvesting,32.38,221.22,No,Urban,High,2.0,4.62,No
11700,HH011701,230.19,3,apartment,municipal,34.29,235.19,No,Urban,Medium,2.0,3.83,No
11707,HH011708,231.12,3,apartment,borewell,33.86,232.89,No,Urban,Medium,1,5.75,No
11716,HH011717,218.55,3.0,apartment,municipal,31.64,217.97,No,Urban,High,2.0,6.32,No
11725,HH011726,165.22,6.0,apartment,municipal,22.51,166.96,No,Rural,Medium,1,8.23,No
11728,HH011729,174.99,6.0,apartment,municipal,26.17,174.26,Yes,Suburban,Medium,1,8.52,Yes
11730,HH011731,148.5,4.0,apartment,municipal,21.86,147.19,No,Suburban,Low,2.0,7.53,No
11731,HH011732,322.29,3,house,municipal,46.41,326.19,No,Urban,Medium,2.0,10.38,Yes
11732,HH011733,246.82,1.0,house,municipal,37.18,247.54,No,Urban,Low,1,8.77,No
11738,HH011739,138.72,3,house,municipal,19.67,144.19,No,Urban,Medium,3.0,4.27,No
11742,HH011743,194.57,5.0,apartment,municipal,27.36,192.05,No,Urban,Medium,1,12.39,No
11744,HH011745,243.65,3.0,apartment,municipal,36.55,228.87,No,Rural,Low,1.0,11.82,No
11746,HH011747,220.95,6.0,apartment,borewell,29.98,220.97,No,Urban,Medium,1.0,3.84,No
11750,HH011751,232.32,6.0,house,municipal,33.91,230.86,No,Urban,Low,1,8.94,No
11751,HH011752,273.72,3,apartment,municipal,37.21,276.38,No,Suburban,Medium,1,4.4,No
11778,HH011779,182.62,3.0,apartment,municipal,29.83,182.89,No,Suburban,Medium,1.0,8.0,No
11782,HH011783,108.2,2.0,apartment,municipal,15.14,114.07,No,Suburban,Medium,3.0,8.96,No
11786,HH011787,167.2,4.0,apartment,borewell,25.71,169.15,No,Urban,Medium,2.0,7.71,No
11796,HH011797,106.69,3.0,apartment,borewell,17.49,104.1,No,Rural,Medium,1,12.62,No
11807,HH011808,210.75,3,apartment,borewell,32.06,206.85,No,Rural,Low,1.0,5.24,No
11813,HH011814,278.39,4.0,apartment,municipal,45.14,279.59,No,Urban,High,2.0,5.1,No
11816,HH011817,244.49,3,house,municipal,39.49,238.3,No,Urban,Medium,3.0,15.6,No
11817,HH011818,221.04,4.0,house,municipal,33.92,224.3,No,Urban,Medium,1,10.29,No
11834,HH011835,127.8,3,apartment,municipal,19.44,131.47,No,Suburban,Medium,2.0,7.02,Yes
11838,HH011839,293.76,9.0,apartment,borewell,45.62,293.36,No,Urban,Medium,3.0,9.69,No
11839,HH011840,205.23,1.0,apartment,municipal,31.61,203.87,Yes,Suburban,Medium,1,7.39,No
11841,HH011842,151.22,3,house,municipal,23.88,149.79,No,Urban,Medium,2.0,10.95,No
11851,HH011852,207.61,3,apartment,municipal,28.5,197.11,No,Urban,High,1.0,5.31,No
11864,HH011865,191.36,2.0,apartment,municipal,29.95,198.39,No,Urban,Medium,1.0,4.64,No
11869,HH011870,222.61,3.0,apartment,municipal,33.61,223.55,No,Rural,Medium,3.0,12.78,No
11871,HH011872,190.3,6.0,apartment,rainwater harvesting,29.24,184.65,No,Urban,Medium,1.0,5.59,No
11872,HH011873,220.42,3,apartment,municipal,32.17,222.75,No,Urban,Medium,2.0,9.92,No
11875,HH011876,123.74,3,house,borewell,20.03,121.38,No,Urban,Medium,1.0,7.12,No
11877,HH011878,184.73,2.0,apartment,municipal,26.68,188.39,No,Urban,High,2.0,11.7,No
11880,HH011881,204.17,4.0,house,municipal,33.51,199.13,No,Urban,Medium,1,7.74,No
11892,HH011893,154.37,3,apartment,municipal,22.73,153.32,No,Urban,High,2.0,6.48,No
11904,HH011905,187.87,4.0,apartment,municipal,30.54,195.75,No,Urban,High,1.0,13.28,No
11910,HH011911,212.68,3,apartment,municipal,29.06,212.8,No,Rural,High,1.0,5.07,No
11912,HH011913,193.25,3.0,house,municipal,29.27,182.84,No,Urban,Medium,2.0,5.28,No
11922,HH011923,206.7,6.0,house,borewell,31.51,200.55,No,Urban,Medium,1.0,12.15,No
11924,HH011925,175.16,3,apartment,municipal,26.79,173.36,No,Rural,Medium,2.0,4.78,No
11928,HH011929,169.44,5.0,house,municipal,25.52,169.73,No,Suburban,Medium,1,8.13,No
11930,HH011931,175.41,3,apartment,municipal,25.99,175.6,No,Urban,Low,1,9.52,No
11955,HH011956,175.45,3.0,apartment,municipal,24.01,168.28,No,Urban,Low,2.0,10.05,No
11962,HH011963,139.87,2.0,house,rainwater harvesting,20.84,140.93,No,Urban,Medium,2.0,4.93,No
11984,HH011985,232.14,4.0,apartment,municipal,36.46,227.53,No,Suburban,High,2.0,7.96,No
11992,HH011993,179.69,3,apartment,municipal,26.17,178.34,No,Suburban,Low,2.0,3.91,No
12000,HH012001,258.74,4.0,house,municipal,41.35,258.04,No,Urban,Medium,1,11.49,No
12001,HH012002,106.05,2.0,apartment,borewell,14.36,107.66,No,Rural,Medium,1.0,8.22,No
12020,HH012021,170.18,3.0,apartment,municipal,27.69,168.03,No,Urban,Medium,2.0,9.85,No
12022,HH012023,227.33,4.0,house,municipal,33.94,229.71,No,Urban,High,2.0,5.26,No
12032,HH012033,193.78,3.0,apartment,municipal,29.12,199.38,No,Urban,High,1.0,9.23,No
12033,HH012034,196.06,3,house,municipal,31.8,197.3,No,Urban,Medium,1.0,5.0,No
12035,HH012036,164.33,6.0,apartment,municipal,24.31,164.91,No,Suburban,Medium,1.0,8.4,No
12046,HH012047,232.75,2.0,apartment,municipal,36.89,233.23,No,Urban,Low,1,6.19,No
12047,HH012048,216.44,7.0,apartment,municipal,32.11,214.12,No,Suburban,High,1,9.15,No
12051,HH012052,255.52,3.0,apartment,municipal,41.03,260.59,No,Urban,Low,1,5.05,No
12054,HH012055,191.58,3,house,borewell,30.76,196.86,No,Rural,Medium,2.0,9.82,No
12063,HH012064,210.96,6.0,apartment,borewell,31.22,215.62,No,Rural,Low,1.0,8.03,No
12067,HH012068,183.15,1.0,apartment,municipal,25.76,185.52,No,Suburban,Medium,1,3.0,No
12103,HH012104,255.61,6.0,apartment,municipal,39.62,252.13,No,Urban,Medium,1.0,10.88,Yes
12106,HH012107,192.98,3.0,apartment,municipal,31.24,192.09,Yes,Urban,Low,3.0,3.0,No
12110,HH012111,224.59,3,apartment,municipal,32.28,223.21,No,Suburban,Medium,2.0,8.55,No
12124,HH012125,244.94,3,house,municipal,38.75,235.07,No,Urban,Medium,2.0,13.55,No
12133,HH012134,218.45,3,house,municipal,35.78,217.32,No,Suburban,Medium,2.0,3.0,No
12139,HH012140,249.5,5.0,apartment,municipal,34.28,246.13,No,Suburban,Low,3.0,3.0,No
12141,HH012142,144.56,4.0,apartment,municipal,20.5,152.68,No,Urban,Medium,2.0,6.94,No
12143,HH012144,280.14,4.0,apartment,municipal,37.88,282.86,No,Urban,Medium,1.0,9.11,No
12149,HH012150,145.45,3,apartment,municipal,21.16,144.57,No,Urban,Low,1.0,7.13,No
12153,HH012154,143.79,4.0,apartment,municipal,20.54,141.81,No,Urban,Medium,1,11.34,No
12174,HH012175,103.38,3,house,municipal,14.92,105.73,No,Suburban,Medium,1.0,6.84,No
12177,HH012178,156.42,3.0,house,municipal,23.63,156.5,No,Urban,Medium,1.0,11.91,No
12182,HH012183,194.77,4.0,apartment,municipal,28.79,200.4,No,Suburban,Medium,2.0,8.99,No
12190,HH012191,222.65,3.0,apartment,municipal,36.35,221.78,No,Urban,Medium,2.0,4.52,No
12198,HH012199,157.58,3,apartment,municipal,22.34,155.25,No,Suburban,Low,2.0,10.69,No
12202,HH012203,134.51,3,apartment,municipal,18.68,135.34,No,Urban,High,1.0,11.07,No
12203,HH012204,224.08,3,apartment,municipal,31.2,218.98,No,Urban,Medium,2.0,10.07,No
12204,HH012205,274.06,6.0,apartment,municipal,40.79,276.49,No,Suburban,Low,1.0,11.39,No
12227,HH012228,195.39,3,apartment,municipal,29.36,191.96,No,Urban,Low,1,4.23,No
12234,HH012235,192.17,4.0,apartment,municipal,29.65,197.71,No,Suburban,Medium,1.0,3.43,No
12240,HH012241,145.67,1.0,apartment,municipal,22.36,143.26,No,Urban,Medium,1.0,3.0,No
12249,HH012250,186.69,2.0,apartment,municipal,26.01,193.23,No,Urban,Low,1,10.22,No
12263,HH012264,172.42,3,house,municipal,24.11,187.67,No,Urban,Medium,2.0,11.79,No
12275,HH012276,251.35,5.0,apartment,municipal,36.72,255.48,No,Urban,Medium,1.0,4.78,No
12277,HH012278,213.41,3.0,apartment,municipal,30.16,206.02,No,Urban,Medium,1,14.08,No
12283,HH012284,238.46,3.0,apartment,borewell,33.59,242.27,No,Rural,Medium,1,7.53,No
12284,HH012285,193.02,3,house,rainwater harvesting,28.27,195.05,No,Urban,Medium,3.0,6.47,No
12289,HH012290,169.37,3,house,municipal,26.69,168.97,No,Urban,Medium,1,13.38,No
12308,HH012309,227.58,1.0,house,municipal,35.82,229.41,Yes,Urban,Medium,1.0,5.12,No
12319,HH012320,187.73,3,house,municipal,29.05,188.46,No,Urban,Medium,2.0,12.67,No
12325,HH012326,213.72,3,apartment,municipal,28.92,204.37,No,Suburban,Low,2.0,6.91,No
12329,HH012330,196.42,3.0,house,municipal,31.69,192.7,No,Urban,Low,1,8.81,No
12334,HH012335,82.2,3.0,apartment,municipal,13.23,78.53,No,Rural,Medium,1.0,5.99,No
12340,HH012341,180.83,3,apartment,municipal,29.03,182.36,No,Suburban,Medium,1,8.64,No
12341,HH012342,183.62,5.0,house,municipal,28.68,188.18,No,Suburban,Medium,4.0,5.45,No
12347,HH012348,197.75,2.0,apartment,borewell,27.04,183.3,No,Urban,High,1,6.87,No
12351,HH012352,183.5,4.0,apartment,municipal,26.49,182.76,No,Urban,Medium,1.0,5.96,No
12353,HH012354,190.13,3,apartment,municipal,29.23,200.69,No,Urban,Medium,3.0,4.11,No
12358,HH012359,172.19,5.0,house,municipal,25.94,175.12,No,Urban,Medium,1,4.35,No
12365,HH012366,115.66,3,house,municipal,17.47,111.59,No,Urban,Low,3.0,5.69,No
12372,HH012373,226.9,3,apartment,municipal,36.77,227.21,Yes,Urban,Medium,1.0,6.49,No
12384,HH012385,180.25,3.0,apartment,rainwater harvesting,28.03,175.18,No,Suburban,Medium,2.0,10.05,No
12386,HH012387,183.56,3,apartment,municipal,24.94,191.5,No,Urban,High,1.0,8.36,Yes
12400,HH012401,237.85,2.0,apartment,municipal,33.1,244.44,No,Urban,Medium,2.0,7.23,No
12402,HH012403,189.99,4.0,apartment,municipal,27.69,189.9,No,Urban,Medium,3.0,5.22,No
12404,HH012405,86.34,3,house,municipal,14.18,84.24,No,Urban,Medium,2.0,6.23,No
12406,HH012407,243.03,2.0,apartment,borewell,34.7,235.64,No,Rural,High,1.0,4.06,No
12422,HH012423,138.94,5.0,house,rainwater harvesting,20.09,124.75,No,Urban,Medium,1.0,9.82,No
12425,HH012426,169.62,4.0,apartment,municipal,24.29,170.08,No,Urban,Medium,2.0,8.73,No
12429,HH012430,186.34,5.0,apartment,municipal,28.7,183.09,Yes,Rural,Medium,1.0,8.27,No
12436,HH012437,215.46,8.0,apartment,municipal,35.08,212.08,No,Urban,Medium,1,8.24,No
12440,HH012441,214.73,3.0,apartment,municipal,32.98,218.29,No,Urban,Low,3.0,9.38,No
12441,HH012442,167.66,6.0,apartment,rainwater harvesting,26.46,172.36,No,Urban,Medium,2.0,11.73,No
12442,HH012443,168.54,4.0,apartment,municipal,23.72,164.13,No,Urban,Medium,1,9.61,No
